algorithm,dataset,data_size,min_time,max_time,std_time,memory_usage,time_or_estimate
Insertion Sort,sorted_desc_10000.txt,10000,4.085102558135986,4.120238780975342,0.01056124787432382,0.0,4.101724147796631
Insertion Sort,random_10000.txt,10000,1.9137628078460693,2.0114879608154297,0.032795461742239636,0.0,1.952420997619629
Insertion Sort,partial_30_10000.txt,10000,0.9832432270050049,1.0294442176818848,0.014947397427792346,0.0,1.0110458612442017
Insertion Sort,partial_70_10000.txt,10000,0.17404675483703613,0.1890425682067871,0.003995228198725742,0.0,0.17975730895996095
Insertion Sort,sorted_asc_100000.txt,100000,-1.0,-1.0,0.0,-1.0,Estimated time: 17.98 seconds
Insertion Sort,sorted_desc_100000.txt,100000,-1.0,-1.0,0.0,-1.0,Estimated time: 17.98 seconds
Insertion Sort,random_100000.txt,100000,-1.0,-1.0,0.0,-1.0,Estimated time: 17.98 seconds
Insertion Sort,partial_30_100000.txt,100000,-1.0,-1.0,0.0,-1.0,Estimated time: 17.98 seconds
Insertion Sort,partial_70_100000.txt,100000,-1.0,-1.0,0.0,-1.0,Estimated time: 17.98 seconds
Insertion Sort,sorted_asc_1000000.txt,1000000,-1.0,-1.0,0.0,-1.0,Estimated time: 29.96 minutes
Insertion Sort,sorted_desc_1000000.txt,1000000,-1.0,-1.0,0.0,-1.0,Estimated time: 29.96 minutes
Insertion Sort,random_1000000.txt,1000000,-1.0,-1.0,0.0,-1.0,Estimated time: 29.96 minutes
Insertion Sort,partial_30_1000000.txt,1000000,-1.0,-1.0,0.0,-1.0,Estimated time: 29.96 minutes
Insertion Sort,partial_70_1000000.txt,1000000,-1.0,-1.0,0.0,-1.0,Estimated time: 29.96 minutes
Merge Sort,sorted_asc_1000.txt,1000,0.0009999275207519531,0.0020008087158203125,0.0005001545475190464,0.0,0.0015003204345703125
Merge Sort,sorted_desc_1000.txt,1000,0.0009999275207519531,0.0020008087158203125,0.0004900863561474644,0.0,0.001600337028503418
Merge Sort,random_1000.txt,1000,0.002000093460083008,0.0020008087158203125,2.3960770657350754e-07,0.0,0.0020004034042358397
Merge Sort,partial_30_1000.txt,1000,0.0010001659393310547,0.002385377883911133,0.00033329319421041036,0.0,0.0019388914108276368
Merge Sort,partial_70_1000.txt,1000,0.00099945068359375,0.0020008087158203125,0.0004901058577356466,0.0,0.0016002416610717773
Merge Sort,sorted_asc_10000.txt,10000,0.018003463745117188,0.020004987716674805,0.0006635143719873628,0.0,0.018404054641723632
Merge Sort,sorted_desc_10000.txt,10000,0.01800370216369629,0.01900482177734375,0.0002996000688631997,0.0,0.018902349472045898
Merge Sort,random_10000.txt,10000,0.024004697799682617,0.026006221771240234,0.0006710917735306608,0.0,0.024505472183227538
Merge Sort,partial_30_10000.txt,10000,0.022004365921020508,0.023006916046142578,0.0004755473669957568,0.0,0.022392940521240235
Merge Sort,partial_70_10000.txt,10000,0.020003557205200195,0.022005081176757812,0.0006634639124538255,0.0,0.020404648780822755
Merge Sort,sorted_asc_100000.txt,100000,0.20879268646240234,0.21704864501953125,0.002249325910270526,0.0,0.2127734661102295
Merge Sort,sorted_desc_100000.txt,100000,0.21126008033752441,0.22204947471618652,0.0033313479290037963,0.0,0.21469380855560302
Merge Sort,random_100000.txt,100000,0.2870793342590332,0.3071329593658447,0.00569734938154624,0.76953125,0.2951289892196655
Merge Sort,partial_30_100000.txt,100000,0.26407599449157715,0.2740607261657715,0.0026475606158291413,0.90625,0.2683318853378296
Merge Sort,partial_70_100000.txt,100000,0.2320554256439209,0.24358510971069336,0.0037208455250441258,0.0,0.23694140911102296
Merge Sort,sorted_asc_1000000.txt,1000000,2.4567947387695312,2.498896598815918,0.01320036387561334,0.0,2.478380274772644
Merge Sort,sorted_desc_1000000.txt,1000000,2.458643913269043,2.5295844078063965,0.02304685610732704,0.0,2.4867706060409547
Merge Sort,random_1000000.txt,1000000,3.6615335941314697,3.8075077533721924,0.04482848749435682,0.0,3.727878952026367
Merge Sort,partial_30_1000000.txt,1000000,3.2738778591156006,3.3337955474853516,0.01691424749590976,0.0,3.306851053237915
Merge Sort,partial_70_1000000.txt,1000000,2.7626688480377197,2.835653066635132,0.021237826557511247,0.0,2.8069316148757935
Quick Sort,sorted_asc_1000.txt,1000,0.0,0.0010004043579101562,0.00045827135169326745,0.0,0.0007000207901000976
Quick Sort,sorted_desc_1000.txt,1000,0.0,0.0017237663269042969,0.00044123694349261256,0.0,0.0009001970291137695
Quick Sort,random_1000.txt,1000,0.0009999275207519531,0.0010004043579101562,1.9804534585280598e-07,0.0,0.0010001420974731444
